H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	4	2	53.06	1.7258	2	63.5
0	4	-2	53.06	1.7258	2	63.5
1	-4	-2	54.39	1.6867	2	41.8
1	4	-2	54.39	1.6867	2	41.8
1	4	2	54.39	1.6867	2	41.8
1	-4	2	54.39	1.6867	2	41.8
4	0	-2	55.34	1.6600	2	44.1
4	0	2	55.34	1.6600	2	44.1
3	-4	0	55.62	1.6523	2	1.9
3	4	0	55.62	1.6523	2	1.9
1	5	0	55.66	1.6512	2	1.4
1	-5	0	55.66	1.6512	2	1.4
2	2	-3	55.85	1.6460	2	8.7
2	-2	3	55.85	1.6460	2	8.7
2	2	3	55.85	1.6460	2	8.7
2	-2	-3	55.85	1.6460	2	8.7
4	1	2	56.50	1.6287	2	50.4
4	-1	-2	56.50	1.6287	2	50.4
4	-1	2	56.50	1.6287	2	50.4
4	1	-2	56.50	1.6287	2	50.4
4	-3	0	56.60	1.6261	2	0.8
4	3	0	56.60	1.6261	2	0.8
3	3	-2	56.67	1.6241	2	205.6
3	-3	2	56.67	1.6241	2	205.6
3	-3	-2	56.67	1.6241	2	205.6
3	3	2	56.67	1.6241	2	205.6
1	3	-3	57.73	1.5970	2	11.0
1	-3	3	57.73	1.5970	2	11.0
1	3	3	57.73	1.5970	2	11.0
1	-3	-3	57.73	1.5970	2	11.0
3	-4	1	57.89	1.5930	2	0.9
3	-4	-1	57.89	1.5930	2	0.9
3	4	1	57.89	1.5930	2	0.9
3	4	-1	57.89	1.5930	2	0.9
1	5	1	57.92	1.5920	2	3.2
1	5	-1	57.92	1.5920	2	3.2
1	-5	1	57.92	1.5920	2	3.2
1	-5	-1	57.92	1.5920	2	3.2
2	-4	2	58.26	1.5837	2	0.0
2	4	-2	58.26	1.5837	2	0.0
2	-4	-2	58.26	1.5837	2	0.0
2	4	2	58.26	1.5837	2	0.0
3	-1	-3	58.81	1.5701	2	10.6
3	1	-3	58.81	1.5701	2	10.6
3	1	3	58.81	1.5701	2	10.6
3	-1	3	58.81	1.5701	2	10.6
4	-3	1	58.84	1.5695	2	1.1
4	-3	-1	58.84	1.5695	2	1.1
4	3	-1	58.84	1.5695	2	1.1
4	3	1	58.84	1.5695	2	1.1
5	1	0	58.96	1.5665	2	1.3
5	-1	0	58.96	1.5665	2	1.3
2	5	0	59.47	1.5542	2	5.8
2	-5	0	59.47	1.5542	2	5.8
4	-2	-2	59.87	1.5447	2	1.1
4	2	2	59.87	1.5447	2	1.1
4	-2	2	59.87	1.5447	2	1.1
4	2	-2	59.87	1.5447	2	1.1
